City_Name,Country,Longtitude,Latitude,Humidity%,Temp,Min_Temp,Max_Temp,Cloudness,Wind_Speed,Date
Yanam,IN,82.22,16.73,84,22.08,22.08,22.08,0,2.1,1519154556
Neyshabur,IR,58.79,36.21,100,5.56,5.56,5.56,64,1.55,1519154557
Jamestown,SH,-5.72,-15.94,100,22.66,22.66,22.66,80,6.2,1519154557
Mitsamiouli,KM,43.28,-11.38,83,27,27,27,20,2.1,1519149600
Tuktoyaktuk,CA,-133.03,69.44,90,-15.55,-15.55,-15.55,88,3.75,1519154558
Hobart,AU,147.33,-42.88,81,10,10,10,75,3.1,1519149600
Cape Town,ZA,18.42,-33.93,64,20,20,20,20,8.2,1519153200
Bluff,NZ,168.33,-46.6,100,12.83,12.83,12.83,92,11.9,1519154559
New Norfolk,AU,147.06,-42.78,81,10,10,10,75,3.1,1519149600
Magburaka,SL,-11.95,8.72,29,36.28,36.28,36.28,0,2.3,1519154560
Port Elizabeth,ZA,25.57,-33.92,88,21,21,21,90,2.1,1519153200
Galbshtadt,RU,78.98,53.23,59,-14.8,-14.8,-14.8,48,3.35,1519154561
Mahibadhoo,MV,72.97,3.78,100,28.21,28.21,28.21,0,6.3,1519154561
Hay River,CA,-115.79,60.82,69,-26.45,-26.45,-26.45,12,1.75,1519154561
San Jose,GT,-89.9,16.98,55,29.81,29.81,29.81,48,2.65,1519154562
Cooma,AU,149.13,-36.24,86,3.41,3.41,3.41,12,1,1519154563
Pahrump,US,-115.98,36.21,21,4.39,3,7,1,3.1,1519152960
Borba,BR,-59.59,-4.39,69,30.25,30.25,30.25,68,1.4,1519154563
Namatanai,PG,152.44,-3.66,98,28.41,28.41,28.41,68,4.35,1519154563
Nyurba,RU,118.35,63.29,34,-30.75,-30.75,-30.75,44,1.45,1519154564
Lindi,TZ,39.71,-10,79,26.06,26.06,26.06,0,2.1,1519154564
Natal,BR,-35.21,-5.81,62,31,31,31,40,5.7,1519149600
Souillac,MU,57.52,-20.52,88,26,26,26,75,2.1,1519153200
Georgetown,SH,-14.42,-7.93,100,25.53,25.53,25.53,8,7.5,1519154566
Awjilah,LY,21.3,29.14,38,17.71,17.71,17.71,0,3.3,1519154566
Yellowknife,CA,-114.38,62.45,44,-33.22,-33.22,-33.22,20,4.9,1519154566
Hohhot,CN,111.65,40.81,35,-14,-14,-14,0,2,1519149600
Sao Joao da Barra,BR,-41.05,-21.64,62,30,30,30,20,7.2,1519149600
Montepuez,MZ,39,-13.13,84,22.75,22.75,22.75,32,2.35,1519154567
Busselton,AU,115.35,-33.64,100,16.5,16.5,16.5,0,8.8,1519154568
